Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    DNK,     .,    .,     ., 1941, 1941, 14,   -99,   ACY,       1,0.00011,0.00000,       ODE,  estimate,    DNK_01,   .,    2
    DNK,     .,    .,     ., 1941, 1941, 15,     1,   ACY,       1,0.00094,0.00011,       ODE,  estimate,    DNK_01,   .,    2
    DNK,     .,    .,     ., 1941, 1941, 16,     1,   ACY,       1,0.00483,0.00105,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 17,     1,   ACY,       1,0.01674,0.00588,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 18,     1,   ACY,       1,0.03867,0.02262,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 19,     1,   ACY,       1,0.06775,0.06129,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 20,     1,   ACY,       1,0.09412,0.12904,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 21,     1,   ACY,       1,0.11094,0.22316,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 22,     1,   ACY,       1,0.12417,0.33410,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 23,     1,   ACY,       1,0.13489,0.45827,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 24,     1,   ACY,       1,0.14102,0.59316,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 25,     1,   ACY,       1,0.14231,0.73418,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 26,     1,   ACY,       1,0.14280,0.87649,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 27,     1,   ACY,       1,0.13651,1.01929,       ODE,  estimate,    DNK_01,   .,    0
    DNK,     .,    .,     ., 1941, 1941, 28,     1,   ACY,       1,0.12735,1.15580,       ODE,  estimate,    DNK_01,   .,    0
