Denmark, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 14/04/2021
Year    Age        ASFR
1916     12-    0.00000
1916     13     0.00000
1916     14     0.00005
1916     15     0.00063
1916     16     0.00526
1916     17     0.01481
1916     18     0.03224
1916     19     0.06106
1916     20     0.08549
1916     21     0.11281
1916     22     0.13207
1916     23     0.15315
1916     24     0.15951
1916     25     0.17640
1916     26     0.17710
1916     27     0.17361
1916     28     0.17875
1916     29     0.17246
1916     30     0.17350
1916     31     0.14732
1916     32     0.15358
1916     33     0.14199
1916     34     0.13777
1916     35     0.12655
1916     36     0.11892
1916     37     0.10936
1916     38     0.10164
1916     39     0.08736
1916     40     0.07163
1916     41     0.06213
1916     42     0.05081
1916     43     0.03326
1916     44     0.02372
1916     45     0.01299
1916     46     0.00608
1916     47     0.00224
1916     48     0.00109
1916     49     0.00000
1916     50     0.00014
1916     51     0.00007
1916     52     0.00000
1916     53     0.00000
1916     54     0.00008
1916     55+    0.00000
1917     12-    0.00000
1917     13     0.00001
1917     14     0.00008
1917     15     0.00076
1917     16     0.00388
1917     17     0.01456
1917     18     0.03204
1917     19     0.05497
1917     20     0.08579
1917     21     0.11077
1917     22     0.12966
1917     23     0.15024
1917     24     0.16167
1917     25     0.16766
1917     26     0.17356
1917     27     0.17309
1917     28     0.16538
1917     29     0.16663
1917     30     0.16071
1917     31     0.15255
1917     32     0.14680
1917     33     0.13859
1917     34     0.12505
1917     35     0.12528
1917     36     0.11409
1917     37     0.10264
1917     38     0.09573
1917     39     0.08185
1917     40     0.07302
1917     41     0.05644
1917     42     0.04394
1917     43     0.03339
1917     44     0.02184
1917     45     0.01128
1917     46     0.00682
1917     47     0.00186
1917     48     0.00066
1917     49     0.00027
1917     50     0.00007
1917     51     0.00014
1917     52     0.00000
1917     53     0.00000
1917     54     0.00000
1917     55+    0.00000
1918     12-    0.00000
1918     13     0.00000
1918     14     0.00006
1918     15     0.00060
1918     16     0.00373
1918     17     0.01479
1918     18     0.03155
1918     19     0.05697
1918     20     0.08375
1918     21     0.10563
1918     22     0.13467
1918     23     0.14871
1918     24     0.16799
1918     25     0.16951
1918     26     0.17366
1918     27     0.17793
1918     28     0.16903
1918     29     0.16325
1918     30     0.16420
1918     31     0.15440
1918     32     0.14783
1918     33     0.13729
1918     34     0.13432
1918     35     0.12331
1918     36     0.11735
