"country","year","age","value"
"denmark",1950,15,40.251
"denmark",1950,16,60.5447142857143
"denmark",1950,17,80.8384285714286
"denmark",1950,18,101.132142857143
"denmark",1950,19,121.425857142857
"denmark",1950,20,141.719571428571
"denmark",1950,21,158.413028571429
"denmark",1950,22,157.1052
"denmark",1950,23,155.797371428571
"denmark",1950,24,154.489542857143
"denmark",1950,25,153.181714285714
"denmark",1950,26,151.873885714286
"denmark",1950,27,147.762342857143
"denmark",1950,28,138.043371428571
"denmark",1950,29,128.3244
"denmark",1950,30,118.605428571429
"denmark",1950,31,108.886457142857
"denmark",1950,32,99.1674857142857
"denmark",1950,33,90.4338857142857
"denmark",1950,34,82.6856571428572
"denmark",1950,35,74.9374285714286
"denmark",1950,36,67.1892
"denmark",1950,37,59.4409714285714
"denmark",1950,38,51.6927428571428
"denmark",1950,39,45.2879428571429
"denmark",1950,40,39.5548571428571
"denmark",1950,41,33.8217714285714
"denmark",1950,42,28.0886857142857
"denmark",1950,43,22.3556
"denmark",1950,44,16.6225142857143
"denmark",1950,45,13.579
"denmark",1950,46,11.0734
"denmark",1950,47,8.5678
"denmark",1950,48,6.0622
"denmark",1950,49,3.5566
"denmark",1950,50,1.051
"denmark",1951,15,40.5058133333333
"denmark",1951,16,61.1339721904762
"denmark",1951,17,81.7621310476191
"denmark",1951,18,102.390289904762
"denmark",1951,19,123.018448761905
"denmark",1951,20,143.646607619048
"denmark",1951,21,160.569943619048
"denmark",1951,22,158.969165333333
"denmark",1951,23,157.368387047619
"denmark",1951,24,155.767608761905
"denmark",1951,25,154.16683047619
"denmark",1951,26,152.566052190476
"denmark",1951,27,148.169867428571
"denmark",1951,28,138.182869714286
"denmark",1951,29,128.195872
"denmark",1951,30,118.208874285714
"denmark",1951,31,108.221876571429
"denmark",1951,32,98.2348788571429
"denmark",1951,33,89.3418285714286
"denmark",1951,34,81.5427257142857
"denmark",1951,35,73.7436228571429
"denmark",1951,36,65.94452
"denmark",1951,37,58.1454171428571
"denmark",1951,38,50.3463142857143
"denmark",1951,39,44.0088053333333
"denmark",1951,40,38.4020933333333
"denmark",1951,41,32.7953813333333
"denmark",1951,42,27.1886693333333
"denmark",1951,43,21.5819573333333
"denmark",1951,44,15.9752453333333
"denmark",1951,45,13.0381361904762
"denmark",1951,46,10.6349476190476
"denmark",1951,47,8.23175904761905
"denmark",1951,48,5.82857047619047
"denmark",1951,49,3.42538190476191
"denmark",1951,50,1.02219333333333
"denmark",1952,15,40.7606266666667
"denmark",1952,16,61.7232300952381
"denmark",1952,17,82.6858335238095
"denmark",1952,18,103.648436952381
"denmark",1952,19,124.611040380952
"denmark",1952,20,145.573643809524
"denmark",1952,21,162.726858666667
"denmark",1952,22,160.833130666667
"denmark",1952,23,158.939402666667
"denmark",1952,24,157.045674666667
"denmark",1952,25,155.151946666667
"denmark",1952,26,153.258218666667
"denmark",1952,27,148.577392
"denmark",1952,28,138.322368
"denmark",1952,29,128.067344
"denmark",1952,30,117.81232
"denmark",1952,31,107.557296
"denmark",1952,32,97.302272
"denmark",1952,33,88.2497714285714
"denmark",1952,34,80.3997942857143
"denmark",1952,35,72.5498171428571
"denmark",1952,36,64.69984
"denmark",1952,37,56.8498628571429
"denmark",1952,38,48.9998857142857
"denmark",1952,39,42.7296678095238
"denmark",1952,40,37.2493295238095
"denmark",1952,41,31.7689912380952
"denmark",1952,42,26.2886529523809
"denmark",1952,43,20.8083146666667
"denmark",1952,44,15.3279763809524
"denmark",1952,45,12.4972723809524
"denmark",1952,46,10.1964952380952
"denmark",1952,47,7.89571809523809
"denmark",1952,48,5.59494095238095
"denmark",1952,49,3.29416380952381
"denmark",1952,50,0.993386666666667
"denmark",1953,15,41.01544
"denmark",1953,16,62.312488
"denmark",1953,17,83.609536
"denmark",1953,18,104.906584
"denmark",1953,19,126.203632
"denmark",1953,20,147.50068
"denmark",1953,21,164.883773714286
"denmark",1953,22,162.697096
"denmark",1953,23,160.510418285714
"denmark",1953,24,158.323740571429
"denmark",1953,25,156.137062857143
"denmark",1953,26,153.950385142857
"denmark",1953,27,148.984916571429
"denmark",1953,28,138.461866285714
"denmark",1953,29,127.938816
"denmark",1953,30,117.415765714286
"denmark",1953,31,106.892715428571
"denmark",1953,32,96.3696651428572
"denmark",1953,33,87.1577142857143
"denmark",1953,34,79.2568628571429
"denmark",1953,35,71.3560114285714
"denmark",1953,36,63.45516
"denmark",1953,37,55.5543085714286
"denmark",1953,38,47.6534571428571
"denmark",1953,39,41.4505302857143
"denmark",1953,40,36.0965657142857
"denmark",1953,41,30.7426011428571
"denmark",1953,42,25.3886365714286
"denmark",1953,43,20.034672
"denmark",1953,44,14.6807074285714
"denmark",1953,45,11.9564085714286
"denmark",1953,46,9.75804285714286
"denmark",1953,47,7.55967714285714
"denmark",1953,48,5.36131142857142
"denmark",1953,49,3.16294571428572
"denmark",1953,50,0.96458
"denmark",1954,15,41.2702533333333
"denmark",1954,16,62.9017459047619
"denmark",1954,17,84.5332384761905
"denmark",1954,18,106.164731047619
"denmark",1954,19,127.796223619048
"denmark",1954,20,149.427716190476
"denmark",1954,21,167.040688761905
"denmark",1954,22,164.561061333333
"denmark",1954,23,162.081433904762
"denmark",1954,24,159.60180647619
"denmark",1954,25,157.122179047619
"denmark",1954,26,154.642551619048
"denmark",1954,27,149.392441142857
"denmark",1954,28,138.601364571429
"denmark",1954,29,127.810288
"denmark",1954,30,117.019211428571
"denmark",1954,31,106.228134857143
"denmark",1954,32,95.4370582857143
"denmark",1954,33,86.0656571428571
"denmark",1954,34,78.1139314285714
"denmark",1954,35,70.1622057142857
"denmark",1954,36,62.21048
"denmark",1954,37,54.2587542857143
"denmark",1954,38,46.3070285714286
"denmark",1954,39,40.1713927619048
"denmark",1954,40,34.9438019047619
"denmark",1954,41,29.716211047619
"denmark",1954,42,24.4886201904762
"denmark",1954,43,19.2610293333333
"denmark",1954,44,14.0334384761905
"denmark",1954,45,11.4155447619048
"denmark",1954,46,9.31959047619048
"denmark",1954,47,7.22363619047619
"denmark",1954,48,5.1276819047619
"denmark",1954,49,3.03172761904762
"denmark",1954,50,0.935773333333333
"denmark",1955,15,41.5250666666667
"denmark",1955,16,63.4910038095238
"denmark",1955,17,85.456940952381
"denmark",1955,18,107.422878095238
"denmark",1955,19,129.388815238095
"denmark",1955,20,151.354752380952
"denmark",1955,21,169.197603809524
"denmark",1955,22,166.425026666667
"denmark",1955,23,163.65244952381
"denmark",1955,24,160.879872380952
"denmark",1955,25,158.107295238095
"denmark",1955,26,155.334718095238
"denmark",1955,27,149.799965714286
"denmark",1955,28,138.740862857143
"denmark",1955,29,127.68176
"denmark",1955,30,116.622657142857
"denmark",1955,31,105.563554285714
"denmark",1955,32,94.5044514285714
"denmark",1955,33,84.9736
"denmark",1955,34,76.971
"denmark",1955,35,68.9684
"denmark",1955,36,60.9658
"denmark",1955,37,52.9632
"denmark",1955,38,44.9606
"denmark",1955,39,38.8922552380952
"denmark",1955,40,33.7910380952381
"denmark",1955,41,28.6898209523809
"denmark",1955,42,23.5886038095238
"denmark",1955,43,18.4873866666667
"denmark",1955,44,13.3861695238095
"denmark",1955,45,10.8746809523809
"denmark",1955,46,8.8811380952381
"denmark",1955,47,6.88759523809524
"denmark",1955,48,4.89405238095238
"denmark",1955,49,2.90050952380953
"denmark",1955,50,0.906966666666667
"denmark",1956,15,42.26404
"denmark",1956,16,64.27324
"denmark",1956,17,86.28244
"denmark",1956,18,108.29164
"denmark",1956,19,130.30084
"denmark",1956,20,152.31004
"denmark",1956,21,170.190272
"denmark",1956,22,167.425664
"denmark",1956,23,164.661056
"denmark",1956,24,161.896448
"denmark",1956,25,159.13184
"denmark",1956,26,156.367232
"denmark",1956,27,150.757565714286
"denmark",1956,28,139.457782857143
"denmark",1956,29,128.158
"denmark",1956,30,116.858217142857
"denmark",1956,31,105.558434285714
"denmark",1956,32,94.2586514285714
"denmark",1956,33,84.5712708571429
"denmark",1956,34,76.4962925714286
"denmark",1956,35,68.4213142857143
"denmark",1956,36,60.346336
"denmark",1956,37,52.2713577142857
"denmark",1956,38,44.1963794285714
"denmark",1956,39,38.1422605714286
"denmark",1956,40,33.0985714285714
"denmark",1956,41,28.0548822857143
"denmark",1956,42,23.0111931428571
"denmark",1956,43,17.967504
"denmark",1956,44,12.9238148571429
"denmark",1956,45,10.4798971428571
"denmark",1956,46,8.55593371428572
"denmark",1956,47,6.63197028571429
"denmark",1956,48,4.70800685714285
"denmark",1956,49,2.78404342857143
"denmark",1956,50,0.86008
"denmark",1957,15,43.10388
"denmark",1957,16,65.09568
"denmark",1957,17,87.08748
"denmark",1957,18,109.07928
"denmark",1957,19,131.07108
"denmark",1957,20,153.06288
"denmark",1957,21,170.940388761905
"denmark",1957,22,168.246441333333
"denmark",1957,23,165.552493904762
"denmark",1957,24,162.85854647619
"denmark",1957,25,160.164599047619
"denmark",1957,26,157.470651619048
"denmark",1957,27,151.829764761905
"denmark",1957,28,140.294999047619
"denmark",1957,29,128.760233333333
"denmark",1957,30,117.225467619048
"denmark",1957,31,105.690701904762
"denmark",1957,32,94.1559361904762
"denmark",1957,33,84.3126350476191
"denmark",1957,34,76.1607984761905
"denmark",1957,35,68.0089619047619
"denmark",1957,36,59.8571253333334
"denmark",1957,37,51.7052887619048
"denmark",1957,38,43.5534521904762
"denmark",1957,39,37.502504
"denmark",1957,40,32.502
"denmark",1957,41,27.501496
"denmark",1957,42,22.500992
"denmark",1957,43,17.500488
"denmark",1957,44,12.499984
"denmark",1957,45,10.1155466666667
"denmark",1957,46,8.25432266666667
"denmark",1957,47,6.39309866666667
"denmark",1957,48,4.53187466666666
"denmark",1957,49,2.67065066666667
"denmark",1957,50,0.809426666666667
"denmark",1958,15,43.94372
"denmark",1958,16,65.91812
"denmark",1958,17,87.89252
"denmark",1958,18,109.86692
"denmark",1958,19,131.84132
"denmark",1958,20,153.81572
"denmark",1958,21,171.69050552381
"denmark",1958,22,169.067218666667
"denmark",1958,23,166.443931809524
"denmark",1958,24,163.820644952381
"denmark",1958,25,161.197358095238
"denmark",1958,26,158.574071238095
"denmark",1958,27,152.901963809524
"denmark",1958,28,141.132215238095
"denmark",1958,29,129.362466666667
"denmark",1958,30,117.592718095238
"denmark",1958,31,105.82296952381
"denmark",1958,32,94.053220952381
"denmark",1958,33,84.0539992380953
