"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"denmark",1950,0,0.5,0.0260904770945254,0.0257545034533106,0.974245496546689,25755,1e+06,987122.5,71554774.6672422,71.5547746672422
"denmark",1950,1,0.5,0.00162278114135621,0.00162146549953921,0.998378534500461,1579,974245,973455.5,70567652.1672422,72.4331684198966
"denmark",1950,2,0.5,0.00141299063600438,0.00141199306951172,0.998588006930488,1374,972666,971979,69594196.6672422,71.5499428038424
"denmark",1950,3,0.5,0.00120320013065255,0.0012024767205789,0.998797523279421,1168,971292,970708,68622217.6672422,70.6504508090689
"denmark",1950,4,0.5,0.000993409625300721,0.000992916438926947,0.999007083561073,963,970124,969642.5,67651509.6672422,69.7349098334256
"denmark",1950,5,0.5,0.00078361911994889,0.000783312210736279,0.999216687789264,759,969161,968781.5,66681867.1672422,68.803704613828
"denmark",1950,6,0.5,0.00057382861459706,0.000573664022181514,0.999426335977818,556,968402,968124,65713085.6672422,67.857238695544
"denmark",1950,7,0.5,0.000364038109245229,0.000363971859431466,0.999636028140569,352,967846,967670,64744961.6672422,66.8959335134331
"denmark",1950,8,0.5,0.000354712268502734,0.000354649369261587,0.999645350630738,343,967494,967322.5,63777291.6672422,65.9200901165714
"denmark",1950,9,0.5,0.000345386427760238,0.00034532679216666,0.999654673207833,334,967151,966984,62809969.1672422,64.9432913446217
"denmark",1950,10,0.5,0.000336060587017743,0.00033600412814547,0.999663995871855,325,966817,966654.5,61842985.1672422,63.9655541506223
"denmark",1950,11,0.5,0.000326734746275247,0.000326681377196802,0.999673318622803,315,966492,966334.5,60876330.6672422,62.9868955637938
"denmark",1950,12,0.5,0.000317408905532752,0.000317358539319438,0.999682641460681,307,966177,966023.5,59909996.1672422,62.0072679925543
"denmark",1950,13,0.5,0.000354719449265886,0.000354656547478286,0.999645343452522,343,965870,965698.5,58943972.6672422,61.026817964366
"denmark",1950,14,0.5,0.000392029992999021,0.000391953164300892,0.999608046835699,378,965527,965338,57978274.1672422,60.0483198991247
"denmark",1950,15,0.5,0.000429340536732155,0.000429248389865107,0.999570751610135,414,965149,964942,57012936.1672422,59.0716419612331
"denmark",1950,16,0.5,0.00046665108046529,0.000466542224248775,0.999533457775751,450,964735,964510,56047994.1672422,58.096777008445
"denmark",1950,17,0.5,0.000503961624198424,0.000503834667529736,0.99949616533247,486,964285,964042,55083484.1672422,57.1236555242923
"denmark",1950,18,0.5,0.000536104636749093,0.000535960971168214,0.999464039028832,517,963799,963540.5,54119442.1672422,56.1522082584047
"denmark",1950,19,0.5,0.000568247649299763,0.000568086242463823,0.999431913757536,547,963282,963008.5,53155901.6672422,55.1820771770283
"denmark",1950,20,0.5,0.000600390661850432,0.000600210481466323,0.999399789518534,578,962735,962446,52192893.1672422,54.213146054981
"denmark",1950,21,0.5,0.000632533674401101,0.000632333688225471,0.999367666311775,608,962157,961853,51230447.1672422,53.2454133444357
"denmark",1950,22,0.5,0.00066467668695177,0.000664455862791017,0.999335544137209,639,961549,961229.5,50268594.1672422,52.2787649586679
"denmark",1950,23,0.5,0.000711368151646398,0.000711115219286822,0.999288884780713,684,960910,960568,49307364.6672422,51.313197559857
"denmark",1950,24,0.5,0.000758059616341025,0.000757772398014369,0.999242227601986,727,960226,959862.5,48346796.6672422,50.3493934420045
"denmark",1950,25,0.5,0.000804751081035653,0.000804427399126122,0.999195572600874,772,959499,959113,47386934.1672422,49.3871636835913
"denmark",1950,26,0.5,0.00085144254573028,0.00085108022277453,0.999148919777225,816,958727,958319,46427821.1672422,48.4265293115164
"denmark",1950,27,0.5,0.000898134010424908,0.000897730869112029,0.999102269130888,860,957911,957481,45469502.1672422,47.4673557013566
"denmark",1950,28,0.5,0.000962409741464143,0.000961946847955522,0.999038053152045,921,957051,956590.5,44512021.1672422,46.5095602713358
"denmark",1950,29,0.5,0.00102668547250338,0.00102615870138778,0.998973841298612,981,956130,955639.5,43555430.6672422,45.5538793545252
"denmark",1950,30,0.5,0.00109096120354261,0.00109036642980633,0.998909633570194,1041,955149,954628.5,42599791.1672422,44.600152612045
"denmark",1950,31,0.5,0.00115523693458185,0.00115457003360866,0.998845429966391,1102,954108,953557,41645162.6672422,43.6482690295461
"denmark",1950,32,0.5,0.00121951266562109,0.00121876951319218,0.998781230486808,1161,953006,952425.5,40691605.6672422,42.6981631461315
"denmark",1950,33,0.5,0.00131689129116269,0.00131602476038973,0.99868397523961,1253,951845,951218.5,39739180.1672422,41.7496337820151
"denmark",1950,34,0.5,0.00141426991670429,0.00141327054369724,0.998586729456303,1343,950592,949920.5,38787961.6672422,40.8040059954662
"denmark",1950,35,0.5,0.0015116485422459,0.00151050686449601,0.998489493135504,1434,949249,948532,37838041.1672422,39.861028209924
"denmark",1950,36,0.5,0.0016090271677875,0.00160773372416713,0.998392266275833,1524,947815,947053,36889509.1672422,38.9205796144207
"denmark",1950,37,0.5,0.00170640579332911,0.00170495112409136,0.998295048875909,1613,946291,945484.5,35942456.1672422,37.9824558906744
"denmark",1950,38,0.5,0.00188187160588338,0.0018801025500808,0.998119897449919,1777,944678,943789.5,34996971.6672422,37.0464556888614
"denmark",1950,39,0.5,0.00205733741843765,0.00205522327456464,0.997944776725435,1937,942901,941932.5,34053182.1672422,36.1153314793835
"denmark",1950,40,0.5,0.00223280323099192,0.00223031330561447,0.997769686694385,2099,940964,939914.5,33111249.6672422,35.1886466084167
"denmark",1950,41,0.5,0.00240826904354619,0.00240537265129903,0.997594627348701,2258,938865,937736,32171335.1672422,34.2661992589373
"denmark",1950,42,0.5,0.00258373485610046,0.00258040131968426,0.997419598680316,2417,936607,935398.5,31233599.1672422,33.3476038159465
"denmark",1950,43,0.5,0.00290269977044602,0.00289849304290089,0.997101506957099,2708,934190,932836,30298200.6672422,32.4325893739412
"denmark",1950,44,0.5,0.00322166468479158,0.00321648346919063,0.996783516530809,2996,931482,929984,29365364.6672422,31.5254236445172
"denmark",1950,45,0.5,0.00354062959913715,0.00353437264693309,0.996465627353067,3282,928486,926845,28435380.6672422,30.625535190883
"denmark",1950,46,0.5,0.00385959451348271,0.00385216062447706,0.996147839375523,3564,925204,923422,27508535.6672422,29.7324002784707
"denmark",1950,47,0.5,0.00417855942782827,0.00416984745014058,0.995830152549859,3843,921640,919718.5,26585113.6672422,28.8454425450742
"denmark",1950,48,0.5,0.00452593004928304,0.00451571115288269,0.995484288847117,4144,917797,915725,25665395.1672422,27.964130594502
"denmark",1950,49,0.5,0.00487330067073781,0.00486145500477006,0.99513854499523,4442,913653,911432,24749670.1672422,27.0886979709388
"denmark",1950,50,0.5,0.00522067129219259,0.00520707906808911,0.994792920931911,4734,909211,906844,23838238.1672422,26.2185985071036
"denmark",1950,51,0.5,0.00556804191364736,0.0055525834050831,0.994447416594917,5022,904477,901966,22931394.1672422,25.3532087242044
"denmark",1950,52,0.5,0.00591541253510213,0.00589796807795216,0.994102031922048,5305,899455,896802.5,22029428.1672422,24.4919736587624
"denmark",1950,53,0.5,0.00655219867378741,0.00653080311403613,0.993469196885964,5840,894150,891230,21132625.6672422,23.6343182544788
"denmark",1950,54,0.5,0.00718898481247269,0.00716323661286367,0.992836763387136,6363,888310,885128.5,20241395.6672422,22.7864097750134
"denmark",1950,55,0.5,0.00782577095115797,0.00779526895647992,0.99220473104352,6875,881947,878509.5,19356267.1672422,21.9471999646715
"denmark",1950,56,0.5,0.00846255708984324,0.0084269005264455,0.991573099473555,7374,875072,871385,18477757.6672422,21.1156998135493
"denmark",1950,57,0.5,0.00909934322852852,0.0090581317038373,0.990941868296163,7860,867698,863768,17606372.6672422,20.2908992152133
"denmark",1950,58,0.5,0.0103307813824865,0.0102776930823117,0.989722306917688,8837,859838,855419.5,16742604.6672422,19.471812908062
"denmark",1950,59,0.5,0.0115622195364445,0.0114957612786235,0.988504238721376,9783,851001,846109.5,15887185.1672422,18.6688207972049
"denmark",1950,60,0.5,0.0127936576904025,0.0127123390333838,0.987287660966616,10694,841218,835871,15041075.6672422,17.8801162923786
"denmark",1950,61,0.5,0.0140250958443605,0.0139274290805007,0.986072570919499,11567,830524,824740.5,14205204.6672422,17.103906289574
"denmark",1950,62,0.5,0.0152565339983185,0.0151410341472003,0.9848589658528,12400,818957,812757,13380464.1672422,16.3384209027363
"denmark",1950,63,0.5,0.0174089881056891,0.0172587593376748,0.982741240662325,13920,806557,799597,12567707.1672422,15.5819206419908
"denmark",1950,64,0.5,0.0195614422130596,0.019371970373552,0.980628029626448,15355,792637,784959.5,11768110.1672422,14.8467837954097
"denmark",1950,65,0.5,0.0217138963204302,0.0214806816730597,0.97851931832694,16696,777282,768934,10983150.6672422,14.1302007086774
"denmark",1950,66,0.5,0.0238663504278008,0.0235849075930888,0.976415092406911,17939,760586,751616.5,10214216.6672422,13.4294039953959
