Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    SWE,     .,    .,     ., 1911, 1911, 14,   -99,   ACY,       1,0.00009,0.00000,       ODE,  estimate,    SWE_01,   .,    2
    SWE,     .,    .,     ., 1911, 1911, 15,     1,   ACY,       1,0.00073,0.00009,       ODE,  estimate,    SWE_01,   .,    2
    SWE,     .,    .,     ., 1911, 1911, 16,     1,   ACY,       1,0.00391,0.00082,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 17,     1,   ACY,       1,0.01304,0.00473,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 18,     1,   ACY,       1,0.02949,0.01777,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 19,     1,   ACY,       1,0.05061,0.04726,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 20,     1,   ACY,       1,0.07354,0.09787,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 21,     1,   ACY,       1,0.09675,0.17141,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 22,     1,   ACY,       1,0.11969,0.26816,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 23,     1,   ACY,       1,0.13753,0.38785,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 24,     1,   ACY,       1,0.15183,0.52538,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 25,     1,   ACY,       1,0.16220,0.67721,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 26,     1,   ACY,       1,0.16860,0.83941,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 27,     1,   ACY,       1,0.17200,1.00801,       ODE,  estimate,    SWE_01,   .,    0
    SWE,     .,    .,     ., 1911, 1911, 28,     1,   ACY,       1,0.17482,1.18001,       ODE,  estimate,    SWE_01,   .,    0
