Sweden, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/11/2020
Year    Age        ASFR
1891     12-    0.00000
1891     13     0.00002
1891     14     0.00002
1891     15     0.00046
1891     16     0.00210
1891     17     0.00636
1891     18     0.01569
1891     19     0.03376
1891     20     0.06091
1891     21     0.08227
1891     22     0.11084
1891     23     0.12743
1891     24     0.15622
1891     25     0.17413
1891     26     0.19070
1891     27     0.19905
1891     28     0.20294
1891     29     0.21352
1891     30     0.22118
1891     31     0.21125
1891     32     0.21168
1891     33     0.20607
1891     34     0.19842
1891     35     0.20165
1891     36     0.19269
1891     37     0.19036
1891     38     0.17210
1891     39     0.16378
1891     40     0.15116
1891     41     0.12601
1891     42     0.10427
1891     43     0.08398
1891     44     0.05692
1891     45     0.03562
1891     46     0.02066
1891     47     0.00962
1891     48     0.00554
1891     49     0.00182
1891     50     0.00097
1891     51     0.00000
1891     52     0.00000
1891     53     0.00000
1891     54     0.00000
1891     55+    0.00000
1892     12-    0.00000
1892     13     0.00000
1892     14     0.00004
1892     15     0.00036
1892     16     0.00159
1892     17     0.00617
1892     18     0.01593
1892     19     0.03315
1892     20     0.05755
1892     21     0.08402
1892     22     0.11091
1892     23     0.12903
1892     24     0.14884
1892     25     0.16823
1892     26     0.17687
1892     27     0.19232
1892     28     0.19997
1892     29     0.19986
1892     30     0.21077
1892     31     0.20571
1892     32     0.20920
1892     33     0.19402
1892     34     0.19124
1892     35     0.19178
1892     36     0.18720
1892     37     0.17135
1892     38     0.16498
1892     39     0.15469
1892     40     0.13889
1892     41     0.11619
1892     42     0.09935
1892     43     0.07721
1892     44     0.05627
1892     45     0.03632
1892     46     0.01963
1892     47     0.00954
1892     48     0.00460
1892     49     0.00204
1892     50     0.00052
1892     51     0.00004
1892     52     0.00000
1892     53     0.00000
1892     54     0.00000
1892     55+    0.00000
1893     12-    0.00000
1893     13     0.00000
1893     14     0.00002
1893     15     0.00036
1893     16     0.00195
1893     17     0.00714
1893     18     0.01605
1893     19     0.03447
1893     20     0.05904
1893     21     0.08188
1893     22     0.10817
1893     23     0.13475
1893     24     0.15334
1893     25     0.16407
1893     26     0.18321
1893     27     0.19300
1893     28     0.19720
1893     29     0.20857
1893     30     0.21076
1893     31     0.20942
1893     32     0.21323
1893     33     0.20371
1893     34     0.19727
1893     35     0.19385
1893     36     0.18874
1893     37     0.18079
1893     38     0.16738
1893     39     0.15997
1893     40     0.14443
1893     41     0.11933
1893     42     0.10214
1893     43     0.07985
1893     44     0.05308
1893     45     0.03594
1893     46     0.01948
1893     47     0.00929
1893     48     0.00444
1893     49     0.00190
1893     50     0.00068
1893     51     0.00004
1893     52     0.00004
1893     53     0.00000
1893     54     0.00000
1893     55+    0.00000
1894     12-    0.00000
1894     13     0.00000
1894     14     0.00000
1894     15     0.00021
1894     16     0.00146
1894     17     0.00617
1894     18     0.01713
1894     19     0.03478
1894     20     0.05597
1894     21     0.08295
1894     22     0.11007
1894     23     0.13802
1894     24     0.15705
1894     25     0.16907
1894     26     0.17841
1894     27     0.18872
1894     28     0.19617
1894     29     0.20606
1894     30     0.21040
1894     31     0.20244
1894     32     0.20837
1894     33     0.20448
1894     34     0.19740
1894     35     0.18842
1894     36     0.18338
1894     37     0.17737
1894     38     0.17029
1894     39     0.15603
1894     40     0.14931
1894     41     0.12185
1894     42     0.10111
1894     43     0.07762
1894     44     0.05709
1894     45     0.03689
1894     46     0.01800
1894     47     0.00983
1894     48     0.00414
1894     49     0.00201
1894     50     0.00082
1894     51     0.00000
1894     52     0.00000
1894     53     0.00000
1894     54     0.00000
1894     55+    0.00000
1895     12-    0.00000
1895     13     0.00002
1895     14     0.00013
1895     15     0.00055
1895     16     0.00213
1895     17     0.00728
1895     18     0.01793
1895     19     0.03808
1895     20     0.06214
1895     21     0.08588
1895     22     0.11468
1895     23     0.14071
1895     24     0.15773
1895     25     0.17694
1895     26     0.18384
1895     27     0.19528
1895     28     0.20751
1895     29     0.20639
1895     30     0.21101
1895     31     0.21421
1895     32     0.20601
1895     33     0.20367
1895     34     0.19964
1895     35     0.19849
1895     36     0.18704
1895     37     0.17755
1895     38     0.16650
1895     39     0.15624
1895     40     0.14444
1895     41     0.12426
1895     42     0.10052
1895     43     0.07912
1895     44     0.05466
1895     45     0.03313
1895     46     0.01692
1895     47     0.00856
1895     48     0.00258
1895     49     0.00115
1895     50     0.00047
1895     51     0.00000
1895     52     0.00000
1895     53     0.00000
1895     54     0.00000
1895     55+    0.00000
1896     12-    0.00000
1896     13     0.00000
1896     14     0.00002
1896     15     0.00030
1896     16     0.00211
1896     17     0.00797
1896     18     0.02035
1896     19     0.03904
1896     20     0.06321
1896     21     0.09120
1896     22     0.11505
1896     23     0.13921
1896     24     0.15996
1896     25     0.17829
1896     26     0.18781
1896     27     0.19251
1896     28     0.19602
1896     29     0.20522
1896     30     0.20747
1896     31     0.20946
1896     32     0.20246
1896     33     0.20045
1896     34     0.20136
1896     35     0.19068
1896     36     0.18351
1896     37     0.17929
1896     38     0.16670
1896     39     0.15030
1896     40     0.14165
1896     41     0.12009
1896     42     0.10268
1896     43     0.07636
1896     44     0.05337
1896     45     0.03298
1896     46     0.01724
1896     47     0.00799
1896     48     0.00391
1896     49     0.00088
1896     50     0.00041
1896     51     0.00000
1896     52     0.00000
1896     53     0.00000
1896     54     0.00000
1896     55+    0.00000
1897     12-    0.00000
1897     13     0.00002
1897     14     0.00006
1897     15     0.00037
1897     16     0.00266
1897     17     0.00856
1897     18     0.02024
1897     19     0.03802
1897     20     0.06442
1897     21     0.08993
1897     22     0.11829
1897     23     0.13712
1897     24     0.15988
1897     25     0.17193
1897     26     0.18852
1897     27     0.19234
1897     28     0.19698
1897     29     0.19841
1897     30     0.20547
1897     31     0.20197
1897     32     0.20151
1897     33     0.19970
1897     34     0.19107
1897     35     0.18673
1897     36     0.17876
1897     37     0.17463
1897     38     0.15893
1897     39     0.14648
1897     40     0.13628
1897     41     0.11715
1897     42     0.10042
1897     43     0.07690
1897     44     0.05013
1897     45     0.03288
1897     46     0.01738
1897     47     0.00820
1897     48     0.00315
1897     49     0.00133
1897     50     0.00030
1897     51     0.00000
1897     52     0.00000
1897     53     0.00000
1897     54     0.00000
1897     55+    0.00000
1898     12-    0.00000
1898     13     0.00000
1898     14     0.00014
1898     15     0.00070
1898     16     0.00234
1898     17     0.00944
1898     18     0.02166
1898     19     0.04247
1898     20     0.06694
1898     21     0.09384
1898     22     0.11989
1898     23     0.14144
1898     24     0.16114
1898     25     0.17876
1898     26     0.18807
1898     27     0.19958
1898     28     0.20327
1898     29     0.20648
1898     30     0.20095
1898     31     0.20399
1898     32     0.20819
1898     33     0.20206
1898     34     0.19647
1898     35     0.19163
1898     36     0.18354
1898     37     0.17318
1898     38     0.16365
1898     39     0.14810
1898     40     0.13618
1898     41     0.11651
1898     42     0.09584
1898     43     0.07413
1898     44     0.05168
1898     45     0.02944
1898     46     0.01740
1898     47     0.00845
1898     48     0.00318
1898     49     0.00121
1898     50     0.00049
1898     51     0.00021
1898     52     0.00004
1898     53     0.00000
1898     54     0.00000
1898     55+    0.00000
1899     12-    0.00000
1899     13     0.00000
1899     14     0.00008
1899     15     0.00058
1899     16     0.00247
1899     17     0.00921
1899     18     0.02191
1899     19     0.04194
1899     20     0.06633
1899     21     0.09231
1899     22     0.11871
1899     23     0.13999
1899     24     0.15999
1899     25     0.17267
1899     26     0.19070
1899     27     0.19833
1899     28     0.19672
1899     29     0.20402
1899     30     0.19726
1899     31     0.19926
1899     32     0.19173
1899     33     0.18904
1899     34     0.18662
1899     35     0.18327
1899     36     0.17729
1899     37     0.16840
1899     38     0.15710
1899     39     0.14612
1899     40     0.12865
1899     41     0.11259
1899     42     0.09182
1899     43     0.07257
1899     44     0.05047
1899     45     0.03089
1899     46     0.01689
1899     47     0.00792
1899     48     0.00304
1899     49     0.00131
1899     50     0.00031
1899     51     0.00008
1899     52     0.00000
1899     53     0.00000
1899     54     0.00000
1899     55+    0.00000
1900     12-    0.00000
1900     13     0.00000
1900     14     0.00013
1900     15     0.00053
1900     16     0.00275
1900     17     0.00932
1900     18     0.02328
1900     19     0.04409
1900     20     0.06776
1900     21     0.09643
1900     22     0.12512
1900     23     0.14631
1900     24     0.16285
1900     25     0.18104
1900     26     0.18762
1900     27     0.19838
1900     28     0.20742
1900     29     0.20192
1900     30     0.20518
1900     31     0.19952
1900     32     0.19836
1900     33     0.19702
1900     34     0.19467
1900     35     0.18539
1900     36     0.17982
1900     37     0.17125
1900     38     0.15900
1900     39     0.14626
1900     40     0.13467
1900     41     0.11241
1900     42     0.09292
1900     43     0.07172
1900     44     0.05078
1900     45     0.02962
1900     46     0.01743
1900     47     0.00710
1900     48     0.00361
1900     49     0.00142
1900     50     0.00023
1900     51     0.00008
1900     52     0.00004
1900     53     0.00000
1900     54     0.00000
1900     55+    0.00000
1901     12-    0.00000
1901     13     0.00000
1901     14     0.00006
1901     15     0.00054
1901     16     0.00319
1901     17     0.00999
1901     18     0.02337
1901     19     0.04357
1901     20     0.07122
1901     21     0.09931
1901     22     0.12555
1901     23     0.14792
1901     24     0.16847
1901     25     0.18322
1901     26     0.19279
1901     27     0.20267
1901     28     0.20543
1901     29     0.21060
1901     30     0.20504
1901     31     0.20321
1901     32     0.19477
1901     33     0.18831
1901     34     0.18788
1901     35     0.18196
1901     36     0.17355
1901     37     0.17002
1901     38     0.15728
1901     39     0.14892
1901     40     0.12967
1901     41     0.11198
1901     42     0.08961
1901     43     0.06967
1901     44     0.04695
1901     45     0.03165
1901     46     0.01704
1901     47     0.00800
1901     48     0.00382
1901     49     0.00102
1901     50     0.00019
1901     51     0.00004
1901     52     0.00008
1901     53     0.00000
1901     54     0.00000
1901     55+    0.00000
1902     12-    0.00000
1902     13     0.00004
1902     14     0.00008
1902     15     0.00057
1902     16     0.00322
1902     17     0.00965
1902     18     0.02347
1902     19     0.04742
1902     20     0.06989
1902     21     0.09613
1902     22     0.12526
1902     23     0.14743
1902     24     0.16455
1902     25     0.17980
1902     26     0.19170
1902     27     0.19365
1902     28     0.19983
1902     29     0.20264
1902     30     0.20148
1902     31     0.19782
1902     32     0.19263
1902     33     0.18769
1902     34     0.18389
1902     35     0.18036
1902     36     0.17033
1902     37     0.16328
1902     38     0.15319
1902     39     0.14282
1902     40     0.12690
1902     41     0.10682
1902     42     0.09084
1902     43     0.07032
1902     44     0.04809
1902     45     0.02809
1902     46     0.01556
1902     47     0.00701
1902     48     0.00277
1902     49     0.00064
1902     50     0.00032
1902     51     0.00008
1902     52     0.00000
1902     53     0.00000
1902     54     0.00000
1902     55+    0.00000
1903     12-    0.00000
1903     13     0.00002
1903     14     0.00008
1903     15     0.00057
1903     16     0.00259
1903     17     0.00893
1903     18     0.02391
1903     19     0.04380
1903     20     0.06792
1903     21     0.09654
1903     22     0.11899
1903     23     0.14237
1903     24     0.16279
1903     25     0.17339
1903     26     0.18754
1903     27     0.19035
1903     28     0.19558
1903     29     0.19938
1903     30     0.19700
1903     31     0.19351
1903     32     0.19029
1903     33     0.18353
1903     34     0.17861
1903     35     0.16879
1903     36     0.16484
1903     37     0.15654
1903     38     0.15070
1903     39     0.13578
1903     40     0.12039
1903     41     0.10511
1903     42     0.08586
1903     43     0.06441
1903     44     0.04554
1903     45     0.02757
1903     46     0.01623
1903     47     0.00615
1903     48     0.00337
1903     49     0.00149
1903     50     0.00016
1903     51     0.00000
1903     52     0.00000
1903     53     0.00000
1903     54     0.00000
1903     55+    0.00000
1904     12-    0.00000
1904     13     0.00002
1904     14     0.00008
1904     15     0.00061
1904     16     0.00281
1904     17     0.00957
1904     18     0.02361
1904     19     0.04523
1904     20     0.06952
1904     21     0.09546
1904     22     0.12269
1904     23     0.14304
1904     24     0.15931
1904     25     0.17595
1904     26     0.18431
1904     27     0.19298
1904     28     0.19680
1904     29     0.19541
1904     30     0.19511
1904     31     0.19696
1904     32     0.19290
1904     33     0.18627
1904     34     0.18177
1904     35     0.16776
1904     36     0.16513
