"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"sweden",1950,0,0.5,0.018005893758004,0.0178452340636853,0.982154765936315,17845,1e+06,991077.5,72496337.2060682,72.4963372060682
"sweden",1950,1,0.5,0.0013903349284167,0.00138936908423356,0.998610630915766,1365,982155,981472.5,71505259.7060682,72.8044552092777
"sweden",1950,2,0.5,0.00122942840944645,0.00122867312662255,0.998771326873377,1205,980790,980187.5,70523787.2060682,71.9050838671563
"sweden",1950,3,0.5,0.0010685218904762,0.00106795132579142,0.998932048674209,1046,979585,979062,69543599.7060682,70.9929201713666
"sweden",1950,4,0.5,0.000907615371505953,0.000907203675505466,0.999092796324495,888,978539,978095,68564537.7060682,70.0682729110114
"sweden",1950,5,0.5,0.000746708852535704,0.000746430169528011,0.999253569830472,730,977651,977286,67586442.7060682,69.1314617445982
"sweden",1950,6,0.5,0.000585802333565456,0.000585630801620357,0.99941436919838,572,976921,976635,66609156.7060682,68.1827463081131
"sweden",1950,7,0.5,0.000424895814595207,0.000424805565541799,0.999575194434458,414,976349,976142,65632521.7060682,67.2223986566977
"sweden",1950,8,0.5,0.000417903220742426,0.000417815917433639,0.999582184082566,408,975935,975731,64656379.7060682,66.2507028706504
"sweden",1950,9,0.5,0.000410910626889645,0.000410826220459749,0.99958917377954,401,975527,975326.5,63680648.7060682,65.278202147217
"sweden",1950,10,0.5,0.000403918033036864,0.000403836474619616,0.99959616352538,394,975126,974929,62705322.2060682,64.3048408165388
"sweden",1950,11,0.5,0.000396925439184084,0.000396846679912727,0.999603153320087,387,974732,974538.5,61730393.2060682,63.3306316054753
"sweden",1950,12,0.5,0.000389932845331303,0.00038985683633857,0.999610143163661,379,974345,974155.5,60755854.7060682,62.3555872982036
"sweden",1950,13,0.5,0.000410230450144821,0.000410146322889489,0.999589853677111,400,973966,973766,59781699.2060682,61.3796572016561
"sweden",1950,14,0.5,0.00043052805495834,0.000430435397701061,0.999569564602299,419,973566,973356.5,58807933.2060682,60.4046702597135
"sweden",1950,15,0.5,0.000450825659771859,0.000450724060785819,0.999549275939214,439,973147,972927.5,57834576.7060682,59.4304629270482
"sweden",1950,16,0.5,0.000471123264585377,0.000471012312156296,0.999528987687844,458,972708,972479,56861649.2060682,58.4570592675995
"sweden",1950,17,0.5,0.000491420869398896,0.000491300151825023,0.999508699848175,477,972250,972011.5,55889170.2060682,57.4843612302064
"sweden",1950,18,0.5,0.000543629456647026,0.000543481730308153,0.999456518269692,528,971773,971509,54917158.7060682,56.5123323101879
"sweden",1950,19,0.5,0.000595838043895156,0.000595660585276178,0.999404339414724,579,971245,970955.5,53945649.7060682,55.5427824143941
"sweden",1950,20,0.5,0.000648046631143286,0.000647836716942313,0.999352163283058,629,970666,970351.5,52974694.2060682,54.5756153054379
"sweden",1950,21,0.5,0.000700255218391416,0.000700010125519755,0.99929998987448,679,970037,969697.5,52004342.7060682,53.6106794958009
"sweden",1950,22,0.5,0.000752463805639546,0.000752180811221675,0.999247819188778,729,969358,968993.5,51034645.2060682,52.6478815938675
"sweden",1950,23,0.5,0.000780826586528568,0.000780521860418577,0.999219478139581,756,968629,968251,50065651.7060682,51.6871286179416
"sweden",1950,24,0.5,0.00080918936741759,0.000808862106109604,0.99919113789389,783,967873,967481.5,49097400.7060682,50.7271105879265
"sweden",1950,25,0.5,0.000837552148306612,0.000837201548328928,0.999162798451671,810,967090,966685,48129919.2060682,49.7677767385333
"sweden",1950,26,0.5,0.000865914929195634,0.000865540187110715,0.999134459812889,836,966280,965862,47163234.2060682,48.8090762574701
"sweden",1950,27,0.5,0.000894277710084656,0.000893878022489133,0.999106121977511,863,965444,965012.5,46197372.2060682,47.8509081894633
