"age","asfr","country","cohort"
50,0,"AGO",1900
49,0,"AGO",1901
48,0.00650536,"AGO",1902
47,0.01400537,"AGO",1903
46,0.02316579,"AGO",1904
45,0.03432349,"AGO",1905
44,0.0474864,"AGO",1906
43,0.0623336,"AGO",1907
42,0.0784521,"AGO",1908
41,0.09533691,"AGO",1909
40,0.11239099,"AGO",1910
39,0.12892528,"AGO",1911
38,0.1441587,"AGO",1912
37,0.1576799,"AGO",1913
36,0.16944725,"AGO",1914
35,0.17978887,"AGO",1915
34,0.18940263,"AGO",1916
33,0.1993561,"AGO",1917
32,0.21024265,"AGO",1918
31,0.22218139,"AGO",1919
30,0.23481723,"AGO",1920
29,0.2473208,"AGO",1921
28,0.25838854,"AGO",1922
27,0.26731832,"AGO",1923
26,0.27400949,"AGO",1924
25,0.27896285,"AGO",1925
24,0.28328064,"AGO",1926
23,0.2886666,"AGO",1927
22,0.29480061,"AGO",1928
21,0.29933878,"AGO",1929
20,0.29791337,"AGO",1930
19,0.28413286,"AGO",1931
18,0.2495819,"AGO",1932
17,0.19340609,"AGO",1933
16,0.122312,"AGO",1934
15,0.05056714,"AGO",1935
50,0,"AGO",1901
49,0,"AGO",1902
48,0.00661016793333333,"AGO",1903
47,0.0142310112666667,"AGO",1904
46,0.0235390161333333,"AGO",1905
45,0.0348764794,"AGO",1906
44,0.0482514586666667,"AGO",1907
43,0.0633378642,"AGO",1908
42,0.0797160514666667,"AGO",1909
41,0.0968728930666667,"AGO",1910
40,0.1142017326,"AGO",1911
39,0.1310024108,"AGO",1912
38,0.1464812578,"AGO",1913
37,0.160220298066667,"AGO",1914
36,0.172177232666667,"AGO",1915
35,0.182685469266667,"AGO",1916
34,0.192454116333333,"AGO",1917
33,0.2025679486,"AGO",1918
32,0.213629892533333,"AGO",1919
31,0.225760979866667,"AGO",1920
30,0.238600396,"AGO",1921
29,0.251305413533333,"AGO",1922
28,0.2625514668,"AGO",1923
27,0.2716251158,"AGO",1924
26,0.278424088466667,"AGO",1925
25,0.283457250666667,"AGO",1926
24,0.287844605866667,"AGO",1927
23,0.293317339666667,"AGO",1928
22,0.299550175866667,"AGO",1929
21,0.304161460666667,"AGO",1930
20,0.302713086533333,"AGO",1931
19,0.2887105564,"AGO",1932
18,0.2536029414,"AGO",1933
17,0.196522078133333,"AGO",1934
16,0.124282582866667,"AGO",1935
15,0.0513818331333333,"AGO",1936
50,0,"AGO",1902
49,0,"AGO",1903
48,0.00671497586666667,"AGO",1904
47,0.0144566525333333,"AGO",1905
46,0.0239122422666667,"AGO",1906
45,0.0354294688,"AGO",1907
44,0.0490165173333333,"AGO",1908
43,0.0643421284,"AGO",1909
42,0.0809800029333333,"AGO",1910
41,0.0984088761333333,"AGO",1911
40,0.1160124752,"AGO",1912
39,0.1330795416,"AGO",1913
38,0.1488038156,"AGO",1914
37,0.162760696133333,"AGO",1915
36,0.174907215333333,"AGO",1916
35,0.185582068533333,"AGO",1917
34,0.195505602666667,"AGO",1918
33,0.2057797972,"AGO",1919
32,0.217017135066667,"AGO",1920
31,0.229340569733333,"AGO",1921
30,0.242383562,"AGO",1922
29,0.255290027066667,"AGO",1923
28,0.2667143936,"AGO",1924
27,0.2759319116,"AGO",1925
26,0.282838686933333,"AGO",1926
25,0.287951651333333,"AGO",1927
24,0.292408571733333,"AGO",1928
23,0.297968079333333,"AGO",1929
22,0.304299741733333,"AGO",1930
21,0.308984141333333,"AGO",1931
20,0.307512803066667,"AGO",1932
19,0.2932882528,"AGO",1933
18,0.2576239828,"AGO",1934
17,0.199638066266667,"AGO",1935
16,0.126253165733333,"AGO",1936
15,0.0521965262666667,"AGO",1937
50,0,"AGO",1903
49,0,"AGO",1904
48,0.0068197838,"AGO",1905
47,0.0146822938,"AGO",1906
46,0.0242854684,"AGO",1907
45,0.0359824582,"AGO",1908
44,0.049781576,"AGO",1909
43,0.0653463926,"AGO",1910
42,0.0822439544,"AGO",1911
41,0.0999448592,"AGO",1912
40,0.1178232178,"AGO",1913
39,0.1351566724,"AGO",1914
38,0.1511263734,"AGO",1915
37,0.1653010942,"AGO",1916
36,0.177637198,"AGO",1917
35,0.1884786678,"AGO",1918
34,0.198557089,"AGO",1919
33,0.2089916458,"AGO",1920
32,0.2204043776,"AGO",1921
31,0.2329201596,"AGO",1922
30,0.246166728,"AGO",1923
29,0.2592746406,"AGO",1924
28,0.2708773204,"AGO",1925
27,0.2802387074,"AGO",1926
26,0.2872532854,"AGO",1927
25,0.292446052,"AGO",1928
24,0.2969725376,"AGO",1929
23,0.302618819,"AGO",1930
22,0.3090493076,"AGO",1931
21,0.313806822,"AGO",1932
20,0.3123125196,"AGO",1933
19,0.2978659492,"AGO",1934
18,0.2616450242,"AGO",1935
17,0.2027540544,"AGO",1936
16,0.1282237486,"AGO",1937
15,0.0530112194,"AGO",1938
50,0,"AGO",1904
49,0,"AGO",1905
48,0.00692459173333333,"AGO",1906
47,0.0149079350666667,"AGO",1907
46,0.0246586945333333,"AGO",1908
45,0.0365354476,"AGO",1909
44,0.0505466346666667,"AGO",1910
43,0.0663506568,"AGO",1911
42,0.0835079058666667,"AGO",1912
41,0.101480842266667,"AGO",1913
40,0.1196339604,"AGO",1914
39,0.1372338032,"AGO",1915
38,0.1534489312,"AGO",1916
37,0.167841492266667,"AGO",1917
36,0.180367180666667,"AGO",1918
35,0.191375267066667,"AGO",1919
34,0.201608575333333,"AGO",1920
33,0.2122034944,"AGO",1921
32,0.223791620133333,"AGO",1922
31,0.236499749466667,"AGO",1923
30,0.249949894,"AGO",1924
29,0.263259254133333,"AGO",1925
28,0.2750402472,"AGO",1926
27,0.2845455032,"AGO",1927
26,0.291667883866667,"AGO",1928
25,0.296940452666667,"AGO",1929
