"iso","LocID","old_name","new_name"
"AFG",4,"afghanistan","Afghanistan"
"ALB",8,"albania","Albania"
"DZA",12,"algeria","Algeria"
"AGO",24,"angola","Angola"
"ATG",28,"antigua and barbuda","Antigua and Barbuda"
"ARG",32,"argentina","Argentina"
"ARM",51,"armenia","Armenia"
"ABW",533,"aruba","Aruba"
"AUS",36,"australia","Australia"
"AUT",40,"austria","Austria"
"AZE",31,"azerbaijan","Azerbaijan"
"BHS",44,"bahamas","Bahamas"
"BHR",48,"bahrain","Bahrain"
"BGD",50,"bangladesh","Bangladesh"
"BRB",52,"barbados","Barbados"
"BLR",112,"belarus","Belarus"
"BEL",56,"belgium","Belgium"
"BLZ",84,"belize","Belize"
"BEN",204,"benin","Benin"
"BTN",64,"bhutan","Bhutan"
"BOL",68,"bolivia (plurinational state of)","Bolivia (Plurinational State of)"
"BIH",70,"bosnia and herzegovina","Bosnia and Herzegovina"
"BWA",72,"botswana","Botswana"
"BRA",76,"brazil","Brazil"
"BRN",96,"brunei darussalam","Brunei Darussalam"
"BGR",100,"bulgaria","Bulgaria"
"BFA",854,"burkina faso","Burkina Faso"
"BDI",108,"burundi","Burundi"
"CPV",132,"cabo verde","Cabo Verde"
"KHM",116,"cambodia","Cambodia"
"CMR",120,"cameroon","Cameroon"
"CAN",124,"canada","Canada"
"CAF",140,"central african republic","Central African Republic"
"TCD",148,"chad","Chad"
"CHL",152,"chile","Chile"
"CHN",156,"china","China"
"CHN",1105,"china","China (and dependencies)"
"CHN",948,"china","Less developed regions, excluding China"
"CHN",2093,"china","SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)"
"HKG",344,"china, hong kong sar","China, Hong Kong SAR"
"MAC",446,"china, macao sar","China, Macao SAR"
"TWN",158,"china, taiwan province of china","China, Taiwan Province of China"
"COL",170,"colombia","Colombia"
"COM",174,"comoros","Comoros"
"COG",178,"congo","Congo"
"CRI",188,"costa rica","Costa Rica"
"CIV",384,"côte d'ivoire","CÃ´te d'Ivoire"
"HRV",191,"croatia","Croatia"
"CUB",192,"cuba","Cuba"
"CUW",531,"curaçao","Curacao"
"CYP",196,"cyprus","Cyprus"
"CZE",203,"czechia","Czechia"
"PRK",408,"dem people's republic of korea","Dem. People's Republic of Korea"
"COD",180,"democratic republic of the congo","Democratic Republic of the Congo"
"DNK",208,"denmark","Denmark"
"DNK",1106,"denmark","Denmark (and dependencies)"
"DJI",262,"djibouti","Djibouti"
"DOM",214,"dominican republic","Dominican Republic"
"ECU",218,"ecuador","Ecuador"
"EGY",818,"egypt","Egypt"
"SLV",222,"el salvador","El Salvador"
"GNQ",226,"equatorial guinea","Equatorial Guinea"
"ERI",232,"eritrea","Eritrea"
"EST",233,"estonia","Estonia"
"SWZ",748,"eswatini","Eswatini"
"ETH",231,"ethiopia","Ethiopia"
"FJI",242,"fiji","Fiji"
"FIN",246,"finland","Finland"
"FRA",250,"france","France"
"GUF",254,"french guiana","French Guiana"
"PYF",258,"french polynesia","French Polynesia"
"GAB",266,"gabon","Gabon"
"GMB",270,"gambia","Gambia"
"GEO",268,"georgia","Georgia"
"DEU",276,"germany","Germany"
"GHA",288,"ghana","Ghana"
"GRC",300,"greece","Greece"
"GRD",308,"grenada","Grenada"
"GLP",312,"guadeloupe","Guadeloupe"
"GUM",316,"guam","Guam"
"GTM",320,"guatemala","Guatemala"
"GIN",324,"guinea","Guinea"
"GNB",624,"guinea-bissau","Guinea-Bissau"
"GUY",328,"guyana","Guyana"
"HTI",332,"haiti","Haiti"
"HND",340,"honduras","Honduras"
"HUN",348,"hungary","Hungary"
"ISL",352,"iceland","Iceland"
"IND",356,"india","India"
"IDN",360,"indonesia","Indonesia"
"IRN",364,"iran (islamic republic of)","Iran (Islamic Republic of)"
"IRQ",368,"iraq","Iraq"
"IRL",372,"ireland","Ireland"
"ISR",376,"israel","Israel"
"ITA",380,"italy","Italy"
"JAM",388,"jamaica","Jamaica"
"JPN",392,"japan","Japan"
"JOR",400,"jordan","Jordan"
"KAZ",398,"kazakhstan","Kazakhstan"
"KEN",404,"kenya","Kenya"
"KIR",296,"kiribati","Kiribati"
"KWT",414,"kuwait","Kuwait"
"KGZ",417,"kyrgyzstan","Kyrgyzstan"
"LAO",418,"lao people's democratic republic","Lao People's Democratic Republic"
"LVA",428,"latvia","Latvia"
"LBN",422,"lebanon","Lebanon"
"LSO",426,"lesotho","Lesotho"
"LBR",430,"liberia","Liberia"
"LBY",434,"libya","Libya"
"LTU",440,"lithuania","Lithuania"
"LUX",442,"luxembourg","Luxembourg"
"MDG",450,"madagascar","Madagascar"
"MWI",454,"malawi","Malawi"
"MYS",458,"malaysia","Malaysia"
"MDV",462,"maldives","Maldives"
"MLI",466,"mali","Mali"
"MLT",470,"malta","Malta"
"MTQ",474,"martinique","Martinique"
"MRT",478,"mauritania","Mauritania"
"MUS",480,"mauritius","Mauritius"
"MYT",175,"mayotte","Mayotte"
"MEX",484,"mexico","Mexico"
"FSM",583,"micronesia (fed states of)","Micronesia (Fed. States of)"
"MNG",496,"mongolia","Mongolia"
"MNE",499,"montenegro","Montenegro"
"MAR",504,"morocco","Morocco"
"MOZ",508,"mozambique","Mozambique"
"MMR",104,"myanmar","Myanmar"
"NAM",516,"namibia","Namibia"
"NPL",524,"nepal","Nepal"
"NLD",528,"netherlands","Netherlands"
"NLD",1108,"netherlands","Netherlands (and dependencies)"
"NCL",540,"new caledonia","New Caledonia"
"NZL",554,"new zealand","New Zealand"
"NZL",1109,"new zealand","New Zealand (and dependencies)"
"NIC",558,"nicaragua","Nicaragua"
"NER",562,"niger","Niger"
"NGA",566,"nigeria","Nigeria"
"MKD",807,"north macedonia","North Macedonia"
"NOR",578,"norway","Norway"
"OMN",512,"oman","Oman"
"PAK",586,"pakistan","Pakistan"
"PAN",591,"panama","Panama"
"PNG",598,"papua new guinea","Papua New Guinea"
"PRY",600,"paraguay","Paraguay"
"PER",604,"peru","Peru"
"PHL",608,"philippines","Philippines"
"POL",616,"poland","Poland"
"PRT",620,"portugal","Portugal"
"PRI",630,"puerto rico","Puerto Rico"
"QAT",634,"qatar","Qatar"
"KOR",410,"republic of korea","Republic of Korea"
"MDA",498,"republic of moldova","Republic of Moldova"
"REU",NA,"réunion",NA
"ROU",642,"romania","Romania"
"RUS",643,"russian federation","Russian Federation"
"RWA",646,"rwanda","Rwanda"
"LCA",662,"saint lucia","Saint Lucia"
"VCT",670,"saint vincent and the grenadines","Saint Vincent and the Grenadines"
"WSM",882,"samoa","Samoa"
"STP",678,"sao tome and principe","Sao Tome and Principe"
"SAU",682,"saudi arabia","Saudi Arabia"
"SEN",686,"senegal","Senegal"
"SRB",688,"serbia","Serbia"
"SYC",690,"seychelles","Seychelles"
"SLE",694,"sierra leone","Sierra Leone"
"SGP",702,"singapore","Singapore"
"SVK",703,"slovakia","Slovakia"
"SVN",705,"slovenia","Slovenia"
"SLB",90,"solomon islands","Solomon Islands"
"SOM",706,"somalia","Somalia"
"ZAF",710,"south africa","South Africa"
"SSD",728,"south sudan","South Sudan"
"ESP",724,"spain","Spain"
"LKA",144,"sri lanka","Sri Lanka"
"PSE",275,"state of palestine","State of Palestine"
"SDN",729,"sudan","Sudan"
"SUR",740,"suriname","Suriname"
"SWE",752,"sweden","Sweden"
"CHE",756,"switzerland","Switzerland"
"SYR",760,"syrian arab republic","Syrian Arab Republic"
"TJK",762,"tajikistan","Tajikistan"
"THA",764,"thailand","Thailand"
"TLS",626,"timor-leste","Timor-Leste"
"TGO",768,"togo","Togo"
"TON",776,"tonga","Tonga"
"TTO",780,"trinidad and tobago","Trinidad and Tobago"
"TUN",788,"tunisia","Tunisia"
"TUR",792,"turkey","Turkey"
"TKM",795,"turkmenistan","Turkmenistan"
"UGA",800,"uganda","Uganda"
"UKR",804,"ukraine","Ukraine"
"ARE",784,"united arab emirates","United Arab Emirates"
"GBR",826,"united kingdom","United Kingdom"
"GBR",1110,"united kingdom","United Kingdom (and dependencies)"
"TZA",834,"united republic of tanzania","United Republic of Tanzania"
"USA",840,"united states of america","United States of America"
"USA",1111,"united states of america","United States of America (and dependencies)"
"VIR",850,"united states virgin islands","United States Virgin Islands"
"URY",858,"uruguay","Uruguay"
"UZB",860,"uzbekistan","Uzbekistan"
"VUT",548,"vanuatu","Vanuatu"
"VEN",862,"venezuela (bolivarian republic of)","Venezuela (Bolivarian Republic of)"
"VNM",704,"viet nam","Viet Nam"
"ESH",732,"western sahara","Western Sahara"
"YEM",887,"yemen","Yemen"
"ZMB",894,"zambia","Zambia"
"ZWE",716,"zimbabwe","Zimbabwe"
